iter	AUC	Logloss
600	0.8218241334	0.5197559067
601	0.8218729496	0.5197024348
602	0.8219243884	0.5196482781
603	0.8219617009	0.5196070382
604	0.8220074475	0.5195538775
605	0.8220596313	0.5194828203
606	0.8221033216	0.5194389347
607	0.8221562505	0.5193838443
608	0.8221928477	0.5193455923
609	0.8222270608	0.5193008042
610	0.8222759962	0.5192504136
611	0.8223131895	0.5192124417
612	0.8223623633	0.5191595611
613	0.822401762	0.519104035
614	0.8224418759	0.5190646625
615	0.8224874139	0.5190161394
616	0.8225252032	0.5189529878
617	0.8225765824	0.5188925751
618	0.8226264119	0.5188449546
619	0.822675705	0.5187985791
620	0.8227222562	0.5187489667
621	0.8227835298	0.5186608221
622	0.8228259683	0.5186099024
623	0.8228692114	0.5185450389
624	0.822917521	0.5185009355
625	0.8229727745	0.5184485529
626	0.8229967356	0.5184126975
627	0.8230516315	0.5183467758
628	0.8231028914	0.5182915298
629	0.8231266737	0.5182554876
630	0.8231864572	0.518195324
631	0.8232166171	0.5181488551
632	0.8232733011	0.5180947918
633	0.823320508	0.5180439655
634	0.8233931065	0.5179751803
635	0.8234493732	0.5179174755
636	0.8235039115	0.5178615448
637	0.8235706091	0.5178034664
638	0.8235985041	0.517770101
639	0.8236457109	0.5177187455
640	0.8236917853	0.5176712806
641	0.8237372637	0.5176235357
642	0.8237687349	0.5175902636
643	0.8238303065	0.5175231591
644	0.8238610029	0.5174859965
645	0.8239088058	0.5174373489
646	0.823954314	0.5173911912
647	0.8240043521	0.5173369412
648	0.8240474761	0.5172903789
649	0.8240991831	0.517229406
650	0.8241449594	0.5171799492
651	0.8241883218	0.5171356279
652	0.8242266774	0.5170861088
653	0.8242809772	0.5170318277
654	0.8243423104	0.5169688939
655	0.8243827224	0.5168997664
656	0.8244207501	0.5168570636
657	0.8244529366	0.5167936318
658	0.8245224953	0.5167222011
659	0.8245788515	0.5166680444
660	0.8246270418	0.5166115846
661	0.8246555328	0.5165761649
662	0.824694097	0.5165304741
663	0.8247278035	0.5164698125
664	0.8247525692	0.5164057894
665	0.8248085976	0.5163445363
666	0.8248378038	0.5163116066
667	0.8248734474	0.5162698064
668	0.8249018192	0.5162289088
669	0.8249388933	0.5161876377
670	0.8250011802	0.5161181678
671	0.8250412941	0.5160598093
672	0.8250741363	0.516028218
673	0.8251089454	0.5159965332
674	0.8251572847	0.5159291487
675	0.8252090812	0.5158654368
676	0.8252862096	0.5157880924
677	0.8253384829	0.5157250342
678	0.8253830075	0.5156797791
679	0.8254438639	0.51561974
680	0.8254782557	0.5155754809
681	0.8255330324	0.515521511
682	0.8255828619	0.5154661094
683	0.8256160021	0.5154296315
684	0.825643003	0.5153987248
685	0.8256873488	0.5153526294
686	0.8257605433	0.5152836887
687	0.8258060813	0.515236037
688	0.8258468509	0.5151899105
689	0.8258872032	0.5151458071
690	0.825937748	0.5150957589
691	0.8259880841	0.5150466756
692	0.8260443807	0.5149915852
693	0.8260759115	0.5149551695
694	0.8261185884	0.5149063974
695	0.8261625767	0.5148649084
696	0.826195538	0.5148315741
697	0.8262752295	0.5147422156
698	0.8263093829	0.5146959957
699	0.8263385296	0.5146215459
700	0.8263944983	0.5145649305
701	0.8264454901	0.5145067899
702	0.8264697194	0.5144809877
703	0.8265049458	0.5144423621
704	0.8265487552	0.5143969515
705	0.8265802264	0.5143629635
706	0.8266187906	0.5143150629
707	0.8266494274	0.5142722667
708	0.8267001212	0.5142189193
709	0.8267433047	0.5141678751
710	0.8267875314	0.5141223089
711	0.8268473744	0.5140308339
712	0.8268994689	0.5139660327
713	0.8269408345	0.5139111602
714	0.8269830942	0.5138567234
715	0.8270234466	0.5138120598
716	0.8270586729	0.5137769202
717	0.827098012	0.5137367073
718	0.8271393776	0.5136940045
719	0.8271850348	0.5136473489
720	0.8272300363	0.5135993549
721	0.8272763491	0.5135327485
722	0.8273236156	0.513474639
723	0.8273656964	0.5134250577
724	0.8274059296	0.5133787133
725	0.8274418116	0.5133399633
726	0.8274888098	0.5132924984
727	0.827547431	0.5132226861
728	0.8275796175	0.513188916
729	0.8276267648	0.5131486721
730	0.827671349	0.5131030747
731	0.8277166486	0.5130403899
732	0.8277560771	0.5129983096
733	0.8278238773	0.512931423
734	0.8278650045	0.5128881288
735	0.8279060125	0.5128442744
736	0.8279576898	0.5127893708
737	0.827996105	0.5127422794
738	0.8280471563	0.5126913286
739	0.8280951381	0.5126279902
740	0.8281447887	0.5125745494
741	0.8281785846	0.5125364219
742	0.8282254934	0.5124892994
743	0.8283019066	0.5124127331
744	0.8283566833	0.5123509198
745	0.8283931613	0.512310707
746	0.8284359276	0.5122685021
747	0.8284887373	0.5122168043
748	0.8285365999	0.5121693706
749	0.8285801411	0.5121233375
750	0.8286185265	0.5120886959
751	0.8286533952	0.5120503816
752	0.8286982775	0.5120065583
753	0.8287453651	0.5119596848
754	0.828773737	0.5119236115
755	0.8288069963	0.5118775161
756	0.8288391829	0.5118342219
757	0.8288733959	0.5117978374
758	0.8289222717	0.5117402259
759	0.8289487064	0.5117118715
760	0.8289906979	0.5116700713
761	0.8290329576	0.5116258122
762	0.8290676475	0.5115713755
763	0.829100728	0.511531505
764	0.829139173	0.5114909809
765	0.8291798532	0.5114432047
766	0.8292122483	0.5114005019
767	0.8292456865	0.5113576746
768	0.8292802572	0.5113128553
769	0.8293249607	0.5112643322
770	0.8293862343	0.5111943021
771	0.8294416666	0.511141048
772	0.8294737041	0.5110935209
773	0.8295091987	0.5110497599
774	0.8295352757	0.5110082709
775	0.8295686841	0.5109591876
776	0.8296096325	0.5109151775
777	0.829654634	0.5108636976
778	0.8296990395	0.5108251966
779	0.8297399282	0.5107844546
780	0.8297908306	0.5107371453
781	0.8298429847	0.5106862879
782	0.8298989534	0.510630077
783	0.8299340606	0.5105965559
784	0.8300023079	0.5105310077
785	0.8300642371	0.5104547838
786	0.8301006556	0.510413824
787	0.8301377296	0.5103608501
788	0.8301768303	0.5103208239
789	0.8302134871	0.51027809
790	0.8302453756	0.5102363209
791	0.8302896619	0.510185588
792	0.830326885	0.5101318048
793	0.8303697109	0.5100918098
794	0.8304160237	0.5100458701
795	0.8304743767	0.5099806331
796	0.8305045962	0.5099266943
797	0.8305487633	0.5098659704
798	0.830589056	0.5098250106
799	0.8306320906	0.5097775768
800	0.8306744099	0.5097296451
801	0.8307136297	0.509687876
802	0.8307411075	0.5096539503
803	0.8307721317	0.509613395
804	0.8308134079	0.5095646541
805	0.8308602571	0.5095197103
806	0.8308954835	0.5094835747
807	0.8309322596	0.5094383508
808	0.8309614658	0.5093999432
809	0.8310120106	0.5093383789
810	0.8310475945	0.5092944934
811	0.8310776055	0.5092505456
812	0.8311216831	0.5092058508
813	0.8311513066	0.509172921
814	0.8311901093	0.509129409
815	0.8312298059	0.5090775555
816	0.831273973	0.5090306509
817	0.8313131332	0.5089802603
818	0.8313475251	0.5089399852
819	0.8314070106	0.5088711378
820	0.8314460516	0.5088356559
821	0.8315071762	0.50878069
822	0.831550777	0.5087420645
823	0.8315840065	0.5087076719
824	0.8316175342	0.5086666187
825	0.8316575289	0.5086184691
826	0.831692636	0.5085813375
827	0.831738174	0.5085336237
828	0.831779778	0.5084880885
829	0.8318228722	0.5084376357
830	0.8318697214	0.5083939991
831	0.8319235444	0.5083340222
832	0.831974268	0.5082831337
833	0.8319973946	0.5082477762
834	0.8320452571	0.5081875503
835	0.8320811391	0.5081488003
836	0.8321296573	0.5080998726
837	0.8321709633	0.5080445643
838	0.8322146535	0.5079980021
839	0.8322604895	0.5079464599
840	0.8322929144	0.5079003334
841	0.8323401809	0.5078537711
842	0.8323814273	0.5078152078
843	0.832420826	0.5077621405
844	0.8324642181	0.5077239819
845	0.8325090408	0.5076753343
846	0.8325377703	0.507641253
847	0.8325822949	0.5075964959
848	0.8326094151	0.5075703202
849	0.8326465189	0.5075308232
850	0.8326891661	0.5074903614
851	0.8327416182	0.5074416515
852	0.832788378	0.5073954939
853	0.8328197002	0.5073622218
854	0.8328610659	0.5073139788
855	0.8328976035	0.5072736414
856	0.8329339027	0.5072357629
857	0.8329710364	0.5071957679
858	0.8330101967	0.5071578894
859	0.8330418468	0.5071274496
860	0.8330888748	0.5070718924
861	0.8331279159	0.5070309637
862	0.8331720829	0.5069812578
863	0.8332045674	0.5069443753
864	0.8332499266	0.5068932377
865	0.8332867622	0.5068446835
866	0.8333288431	0.5068002688
867	0.8333826661	0.5067480108
868	0.8334262669	0.5067030359
869	0.8334673643	0.5066518672
870	0.8335109353	0.506601321
871	0.8335387707	0.5065710368
872	0.8335714936	0.5065241011
873	0.8336188197	0.5064774766
874	0.8336536288	0.5064406563
875	0.8336910009	0.5064019374
876	0.8337240219	0.506361849
877	0.8337646127	0.5063162827
878	0.8338017464	0.5062779374
879	0.8338372707	0.5062409303
880	0.8338766694	0.5061896371
